institution,course
영진전문대학교,반도체산업안전개론
마산대학교,MZ English
마산대학교,M1 English
마산대학교,M2 English
국립한국교통대학교,인공지능 수학
국립한국교통대학교,데이터 전처리 및 탐색적 데이터 분석(EDA)
국립한국교통대학교,인공지능과 IoT
국립한국교통대학교,바이오헬스 의학용어
국립한국교통대학교,바이오헬스 빅데이터
국립한국교통대학교,바이오인포그래픽
국립한국교통대학교,의료기기 디자인 트렌드
포항공과대학교 (POSTECH),인터렉션 디자인 스튜디오
포항공과대학교 (POSTECH),스타트업 비즈니스 기획론
대전대학교,오프라인 세미나 편집
연암대학교,실험실습 콘텐츠 개발
삼육보건대학교,"가족상담 및 가족치료, 영유아발달, 아동권리와 복지 과정"
경일대학교,한국생활 이거 하나면 완전정복
경일대학교,태권도 금메달리스트와 함께 배우는 한국어
국가민방위재난안전교육원,재난안전상황실 근무자 역량강화과정
국가민방위재난안전교육원,어린이놀이시설 안전성 평가
국가민방위재난안전교육원,지역안전지수의 이해
국가민방위재난안전교육원,저수지·댐 안전관리
국가민방위재난안전교육원,재난배상 책임보험 및 재난안전 의무보험의 이해
국가민방위재난안전교육원,민방위 경보의 이해
국가민방위재난안전교육원,(공직자를 위한) 중대재해처벌법
세종대학교,산업응용을 위한 인공지능
세종대학교,설명 가능한 인공지능
세종대학교,강화학습 기반 스마트팩토리 운영방법
법제처,공무원이 알아야 할 기초법(물권법)
법제처,공무원이 알아야 할 기초법(cornjsqjq)
한국교통안전공단,기계식주차장치 관리인 신규교육
한국교통안전공단,기계식주차장치 관리인 보수교육
한국교통안전공단,기계식주차장치 안전관리 신규교육
한국교통안전공단,기계식주차장치 안전관리 보수교육
한국교통안전공단,기계식주차장치 보수원 안전교육
삼육대학교,경영학원론
한국전통문화대학교,우리 고장의 근현대건축유산
한국전통문화대학교,"세계유산, 조선왕릉"
한국전통문화대학교,건축문화유산 보수와 복원
한국전통문화대학교,유적 정비 이론과 방법
한국전통문화대학교,국가유산의 활용
한국전통문화대학교,국가유산 홍보기획
한국전통문화대학교,문화유산 보존과학
한국의료기기안전정보원 (NIDS),의료기기 시판전 인허가1
한국의료기기안전정보원 (NIDS),의료기기 시판전 인허가2
한국의료기기안전정보원 (NIDS),의료기기 임상
한국의료기기안전정보원 (NIDS),의료기기 사후관리1
한국의료기기안전정보원 (NIDS),의료기기 사후관리2
한국의료기기안전정보원 (NIDS),의료기기 사후관리3
한국의료기기안전정보원 (NIDS),의료기기 사후관리4
한국의료기기안전정보원 (NIDS),의료기기 품질관리
충남대학교,생성형 AI 활용 실무
아이씨티폴리텍대학 (ICT),기술자 인정교육(고급이하)
아이씨티폴리텍대학 (ICT),감리원 인정교육(고급이하)
아이씨티폴리텍대학 (ICT),등급변경 교육(기술자)
연암대학교,스마트팜 엽채류 재배관리 전문가 과정
연암대학교,스마트팜 오이 재배관리 전문가 과정
연암대학교,스마트팜 딸기 재배관리 전문가 과정
연암대학교,스마트팜 토마토 재배관리 전문가 과정
연암대학교,스마트팜 파프리카 재배관리 전문가 과정
USG공유대학,전산구조해석
USG공유대학,스마트공장과 로봇
USG공유대학,스마트공학
USG공유대학,스마트도시재생과 리빙랩
